name,Constructor,fullname,position
Spanish Grand Prix,Lotus F1,Kimi Raikkonen,5
Spanish Grand Prix,Lotus F1,Romain Grosjean,4
Spanish Grand Prix,Marussia,Charles Pic,21
Spanish Grand Prix,Marussia,Timo Glock,22
Spanish Grand Prix,McLaren,Jenson Button,11
Spanish Grand Prix,McLaren,Lewis Hamilton,1
Spanish Grand Prix,Mercedes,Michael Schumacher,9
Spanish Grand Prix,Mercedes,Nico Rosberg,7
Spanish Grand Prix,Red Bull,Mark Webber,12
Spanish Grand Prix,Red Bull,Sebastian Vettel,8
Spanish Grand Prix,Sauber,Kamui Kobayashi,10
Spanish Grand Prix,Sauber,Sergio Perez,6
Spanish Grand Prix,Toro Rosso,Daniel Ricciardo,16
Spanish Grand Prix,Toro Rosso,Jean-eric Vergne,15
Spanish Grand Prix,Williams,Bruno Senna,18
Spanish Grand Prix,Williams,Pastor Maldonado,2
United States Grand Prix,Caterham,Heikki Kovalainen,22
United States Grand Prix,Caterham,Vitaly Petrov,21
United States Grand Prix,Ferrari,Felipe Massa,7
United States Grand Prix,Ferrari,Fernando Alonso,9
United States Grand Prix,Force India,Nico Hulkenberg,8
United States Grand Prix,Force India,Paul di Resta,13
United States Grand Prix,HRT,Narain Karthikeyan,24
United States Grand Prix,HRT,Pedro de la Rosa,23
United States Grand Prix,Lotus F1,Kimi Raikkonen,5
United States Grand Prix,Lotus F1,Romain Grosjean,4
United States Grand Prix,Marussia,Charles Pic,20
United States Grand Prix,Marussia,Timo Glock,19
United States Grand Prix,McLaren,Jenson Button,12
United States Grand Prix,McLaren,Lewis Hamilton,2
United States Grand Prix,Mercedes,Michael Schumacher,6
United States Grand Prix,Mercedes,Nico Rosberg,17
United States Grand Prix,Red Bull,Mark Webber,3
United States Grand Prix,Red Bull,Sebastian Vettel,1
United States Grand Prix,Sauber,Kamui Kobayashi,16
United States Grand Prix,Sauber,Sergio Perez,15
United States Grand Prix,Toro Rosso,Daniel Ricciardo,18
United States Grand Prix,Toro Rosso,Jean-eric Vergne,14
United States Grand Prix,Williams,Bruno Senna,11
United States Grand Prix,Williams,Pastor Maldonado,10
